REPORTED_WKLY_SPEND,REPORTED_WKLY_SPEND_USF,REPORTED_WKLY_SPEND_COMPETITOR_1,REPORTED_COP_SPEND,REPORTED_PRODUCE_SPEND,SMALL_QTY_RANK,DEL_FLEX_RANK,CUT_TIME_RANK,CUST_NBR,DIV_NBR,PYR_SEG_CD
9479.075269,7791.020769,0,4064.315835,1707.532052,0,0,0,84639,48,Hospitality
2688.356382,2570.130385,102.8052154,1858.204268,4.626234692,0,0,0,152945,16,Regional
1028.640941,734.7435294,0,440.8461176,257.1602353,0,0,0,85492,2,Other
125952.8562,25952.85615,100000,80000,20000,0,0,0,83150,52,Other
24267.45173,16267.45173,0,21600,7200,0,0,0,129109,3,Independent Restaurant
30046.72105,46.72105263,0,60000,30000,0,0,0,32372,3,Education
24541.05135,10541.05135,0,5000,1000,0,0,0,86107,38,Independent Restaurant
8580.121923,2780.121923,0,2750,1125,0,0,0,119931,61,Independent Restaurant
12497.97143,497.9714286,0,6425,4375,0,0,0,54301,9,Retail
12464.98827,5964.988269,4000,3825,1850,0,0,0,125777,12,Independent Restaurant
36356.21404,1356.214038,0,9250,14500,0,0,0,13000,37,Independent Restaurant
4992.694038,4952.694038,0,2250,1125,0,0,0,42557,33,Independent Restaurant
11647.75229,4147.752292,0,1350,0,0,0,0,105590,27,Government
16083.67577,4083.675769,0,6000,4800,0,0,0,152288,27,Independent Restaurant
4978.547885,3578.547885,400,854,448,0,0,0,70434,38,Education
4572.455769,2872.455769,0,1200,0,0,0,0,151131,58,Health Care
18523.17923,3523.179231,0,300,750,0,0,0,20490,46,Independent Restaurant
5761.935769,3061.935769,0,1215,540,0,0,0,33233,9,Independent Restaurant
4059.577692,1859.577692,900,1685,170,0,0,0,126032,3,Independent Restaurant
18086.50615,86.50615385,0,3600,3600,0,0,0,85940,51,Independent Restaurant
4509.176538,759.1765385,3750,3125,500,0,0,0,43212,24,Hospitality
3110.234808,2935.234808,0,125,18.75,0,0,0,48554,32,Independent Restaurant
30371.94904,5371.949038,0,13500,6750,0,0,0,16222,12,Regional
